,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor,left_sensor,right_sensor
,acc_x,acc_x,acc_y,acc_y,acc_z,acc_z,gyr_x,gyr_x,gyr_y,gyr_y,gyr_z,gyr_z
39,-6.264336525,-6.482127951,-0.367094909,0.414446155,7.168631818,7.1592543,0.172914716,0.065993817,-0.258411621,-0.003027442,0.068605557,-0.059756813
40,-6.26641025,-6.477335636,-0.403121685,0.402573644,7.183014112,7.168564988,-0.010774318,-0.119569737,-0.140098689,-0.002385048,0.068437231,0.002904651
41,-6.290612679,-6.460523291,-0.396252509,0.390695832,7.210947664,7.166278721,0.051683272,-0.058407051,-0.080468053,0.057261934,0.130103367,0.003949226
42,-6.302294086,-6.479651328,-0.386738213,0.390570019,7.161367718,7.163867871,0.049833088,0.00173212,-0.020274704,0.117192451,0.069394776,-0.056010827
43,-6.295160643,-6.49394741,-0.386657453,0.392789307,7.166139855,7.149835148,-0.013091206,0.125099985,0.039540882,0.1168587,0.008404718,-0.118120012
44,-6.297473521,-6.494058011,-0.396287072,0.407200896,7.170899068,7.15918678,0.051683272,0.062904295,-0.080468053,0.117167344,0.130103367,-0.117567733
45,-6.304681836,-6.496291976,-0.391573669,0.397469886,7.168439417,7.135858807,-0.07208178,0.005835669,-0.080753342,0.056386218,0.068493802,0.125406202
46,-6.312102415,-6.493833498,-0.379685959,0.387885968,7.182383198,7.131187583,0.109990423,0.006878161,-0.198596036,-0.063241496,0.007615498,0.061207867
47,-6.309526393,-6.484328074,-0.389239153,0.402293318,7.173077567,7.131261651,0.048682961,0.005864134,-0.139250688,-0.122630049,0.007672069,-0.06239824
48,-6.283160112,-6.486789036,-0.398521094,0.404746047,7.178111218,7.142904824,-0.071148371,0.00688765,-0.319645785,-0.122913585,0.067141647,-0.001393613
49,-6.278649215,-6.486879835,-0.386491598,0.409619543,7.194521111,7.156893283,-0.071615075,0.004821643,-0.200199564,-0.003002335,0.067817725,0.001800094
50,-6.302781129,-6.465335408,-0.374803621,0.412106437,7.205953039,7.152331206,-0.012157797,0.005854646,-0.199351562,-0.06295796,0.007052563,0.00020324
51,-6.307188804,-6.470133519,-0.394025902,0.407339511,7.187250297,7.159288401,-0.012624501,0.003807616,-0.07990534,-0.062390888,0.00772864,-0.121806014
52,-6.29736448,-6.477327392,-0.396268593,0.393050472,7.156788485,7.175531369,-0.133855946,0.06392781,0.098038228,0.116883808,0.069226451,-0.056563106
53,-6.314282261,-6.479752855,-0.382082756,0.397835499,7.158862328,7.177861899,-0.136856257,0.126114012,0.039255593,0.176247253,-0.053204847,0.005486096
54,-6.300016835,-6.484572389,-0.398745465,0.43114634,7.194413476,7.15462402,-0.075315443,0.125081008,-0.079812865,0.236202878,-0.053599457,0.007082949
55,-6.292913921,-6.501307148,-0.391459601,0.433411451,7.192071406,7.149899349,-0.134772721,0.003779151,-0.080660867,0.116625379,0.007165705,0.065998428
56,-6.297597096,-6.515534753,-0.384290884,0.399870349,7.168449111,7.154419505,-0.197697015,-0.058388074,-0.020845281,-0.062082244,-0.053824354,-0.121253735
57,-6.302069467,-6.496422414,-0.401120703,0.388125769,7.154430259,7.170779825,-0.075548795,-0.057355071,-0.020089755,-0.122037869,-0.053261418,-0.122850589
58,-6.297376116,-6.484537754,-0.410691121,0.397807777,7.180423956,7.177841575,-0.136389553,0.007920653,-0.080190629,-0.18286921,-0.053880925,-0.002990467
59,-6.290295734,-6.470009706,-0.393795371,0.397667125,7.166244511,7.14295925,-0.075315443,0.005864134,-0.079812865,-0.122630049,-0.053599457,-0.06239824
60,-6.290588688,-6.493833498,-0.389038166,0.387885968,7.196778165,7.131187583,-0.072765203,0.011019663,-0.319175547,-0.362736084,0.006095017,-0.007781027
61,-6.268790004,-6.458114317,-0.405552359,0.404957148,7.185362645,7.15001543,-0.071381723,0.012043179,-0.259922675,-0.36301962,0.067479686,0.053223601
62,-6.283204456,-6.451011244,-0.400932035,0.424119683,7.187537912,7.147760921,-0.012157797,-0.113371716,-0.199351562,-0.362118797,0.007052563,-0.006676469
63,-6.28085887,-6.472725711,-0.403314003,0.43136486,7.196987476,7.177970363,-0.012157797,-0.118527245,-0.199351562,-0.122012761,0.007052563,-0.061293683
64,-6.293060028,-6.470059245,-0.369853527,0.38821856,7.177784074,7.161573396,-0.010307613,-0.246008147,-0.259544911,-0.001200688,0.067761153,-0.118000045
65,-6.252141185,-6.467763391,-0.407766648,0.376466478,7.199652956,7.191839901,-0.072998555,-0.119569737,-0.259452436,-0.002385048,0.006433056,0.002904651
66,-6.283410901,-6.482275707,-0.386546465,0.421771321,7.192123608,7.182566541,0.050299792,0.064951325,-0.139720926,0.116600272,0.068718699,0.004441521
67,-6.273709433,-6.465244645,-0.39842368,0.373939143,7.19231328,7.168548961,-0.010774318,-0.121626256,-0.140098689,0.057854113,0.068437231,-0.056503122
68,-6.281127832,-6.470059245,-0.391342453,0.38821856,7.21335163,7.161573396,-0.073698611,0.004812154,-0.080283104,0.056669754,0.007447172,0.064401574
69,-6.292725649,-6.491798448,-0.405848251,0.424033253,7.189837474,7.170883697,-0.196080183,0.063918322,-0.021315519,0.176555897,0.007222276,0.006038375
70,-6.29731142,-6.486739532,-0.413083583,0.380900814,7.175740067,7.154496892,-0.135006073,-0.119579225,-0.020937756,0.057287041,0.007503744,0.065506132
71,-6.316457029,-6.479691759,-0.415723229,0.407269144,7.182632039,7.1569182,-0.074165316,-0.056350532,0.039163118,-0.002977227,0.00812325,0.063357
72,-6.28541847,-6.47484166,-0.408141474,0.395322025,7.175815139,7.154581122,-0.135239426,-0.118536733,0.038785355,-0.062340673,0.007841782,0.001307798
73,-6.280715662,-6.467887997,-0.398482882,0.4170556,7.171078796,7.180286822,-0.135006073,0.005864134,-0.020937756,-0.122630049,0.007503744,-0.06239824
74,-6.297481518,-6.474764902,-0.398691853,0.383332262,7.175622235,7.149894166,-0.073931964,-0.056322067,-0.020559993,-0.181993494,0.007785211,-0.124447442
75,-6.285468631,-6.453255973,-0.417763679,0.383486858,7.197059569,7.154644732,-0.073698611,0.001741609,-0.080283104,0.057520362,0.007447172,-0.118612308
